id_konstelacji,nazwa,skrot,polkula,powierzchnia_sq,liczba_gwiazd,widocznosc,miesiac_najlepszy,opis
1,"Orion","Ori","Obie",594.12,81,"Łatwa",1,"Widoczna z obu półkul."
2,"Wielka Niedźwiedzica","UMa","Północna",1279.66,125,"Łatwa",4,"Zawiera Wielki Wóz."
3,"Mała Niedźwiedzica","UMi","Północna",255.86,20,"Łatwa",6,"Zawiera Gwiazdę Polarną."
4,"Kasjopeja","Cas","Północna",598.41,90,"Łatwa",11,"Kształt litery W."
5,"Centaur","Cen","Południowa",1060.42,281,"Średnia",5,"Zawiera Alfa Centauri."
6,"Krzyż Południa","Cru","Południowa",68.45,30,"Łatwa",5,"Kluczowa dla południa."
7,"Skorpion","Sco","Południowa",496.78,100,"Łatwa",7,"Zawiera Antaresa."
8,"Lira","Lyr","Północna",286.48,73,"Średnia",8,"Zawiera Wegę."
9,"Łabędź","Cyg","Północna",803.98,150,"Łatwa",9,"Zawiera Deneba."
10,"Andromeda","And","Obie",722.28,100,"Trudna",11,"Zawiera Galaktykę M31."
11,"Aquarius","Aqr","Obie",980.00,97,"Średnia",9,"Wodnik — zodiak, zawiera Sadalmelik i Sadalsuud."
12,"Aquila","Aql","Obie",652.00,71,"Łatwa",8,"Orzeł — zawiera Altair, jeden z trójkąta letniego."
13,"Aries","Ari","Północna",441.00,87,"Średnia",11,"Baran — zodiak, zawiera Hamal."
14,"Auriga","Aur","Północna",657.00,89,"Łatwa",2,"Woźnica — zawiera Kapellę, 6. najjaśniejszą gwiazdę."
15,"Boötes","Boo","Północna",907.00,118,"Łatwa",6,"Wolarz — zawiera Arkturusa, gwiazdę pomarańczową."
16,"Canis Major","CMa","Południowa",380.00,81,"Łatwa",2,"Wielki Pies — zawiera Syriusza, najjaśniejszą gwiazdę nieba."
17,"Canis Minor","CMi","Północna",183.00,46,"Średnia",3,"Mały Pies — zawiera Procyona."
18,"Capricornus","Cap","Południowa",414.00,58,"Średnia",8,"Koziorożec — zodiak, najstarsza konstelacja zodiakalna."
19,"Cetus","Cet","Obie",1231.00,101,"Trudna",11,"Wieloryb — zawiera Tau Ceti i Menkar."
20,"Columba","Col","Południowa",270.00,52,"Średnia",1,"Gołąb — mała konstelacja obok Wielkiego Psa."
21,"Corvus","Crv","Południowa",184.00,60,"Średnia",5,"Kruk — zawiera Gienah, czterogwiazdowy asteryzm."
22,"Crater","Crt","Południowa",282.00,40,"Trudna",4,"Puchar — sąsiaduje z Krukiem i Hydrą."
23,"Delphinus","Del","Północna",189.00,19,"Średnia",8,"Delfin — mała konstelacja letnia obok Orła."
24,"Dorado","Dor","Południowa",179.00,35,"Trudna",1,"Złota Ryba — zawiera Wielką Mgławicę Magellana."
25,"Eridanus","Eri","Obie",1138.00,151,"Trudna",12,"Erydan — najdłuższa konstelacja, zawiera Achernar."
26,"Fornax","For","Południowa",398.00,60,"Trudna",12,"Piec — zawiera Gromadę Fornaksu."
27,"Gemini","Gem","Północna",514.00,87,"Łatwa",2,"Bliźnięta — zodiak, zawiera Kastora i Polluksa."
28,"Hydra","Hya","Obie",1303.00,200,"Trudna",4,"Hydra — największa konstelacja na niebie."
29,"Lepus","Lep","Południowa",290.00,40,"Średnia",12,"Zając — leży pod stopami Oriona."
30,"Pegasus","Peg","Obie",1121.00,121,"Łatwa",9,"Pegaz — zawiera Wielki Kwadrat Pegaza i 51 Pegasi."
